,Strategic Asset Classes,,,,,,,,,,,,,,,,,,,,,
Name,JPM US CASH 3M - TOT RETURN IND,Barclays Global Aggregate - Government USD - Month-to-Date Rtn - TOTAL RETURN,Barclays Global Aggregate - Corporate USD - Month-to-Date Rtn - TOTAL RETURN,BOFA ML US HY MASTER II ($) - TOT RETURN IND,JPM EMBI GLOBAL COMPOSITE - TOT RETURN IND,SWISS PERFORMANCE INDEX - TOT RETURN IND,MSCI NORTH AMERICA U$ - TOT RETURN IND,MSCI EMU U$ - TOT RETURN IND,MSCI UK U$ - TOT RETURN IND,MSCI PACIFIC U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD :S U$ - TOT RETURN IND,,,,,,,,,,
Code,JPUS3ML(RI),LHGAGOV(TOTR),LHGACRP(TOTR),MLHMAU$(RI),JPMGTOT(RI),SWSPIXD(RI)~U$,MSNAMR$(RI),MSEMUI$(RI),MSUTDK$(RI),MSPACF$(RI),MSEMKF$(RI),MSSWLD$(RI),,,,,,,,,,
CURRENCY,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,,,,,,,,,,
29/9/2000,0.50%,-0.21%,0.39%,-0.88%,-1.08%,-3.77%,-5.68%,-4.95%,-2.74%,-5.26%,-8.73%,-2.94%,,,,,,,,,,
31/10/2000,0.64%,-1.13%,-0.85%,-3.17%,-2.03%,-1.23%,-1.11%,-1.22%,0.71%,-5.73%,-7.25%,-4.46%,,,,,,,,,,
30/11/2000,0.56%,1.78%,1.25%,-3.84%,-0.40%,2.85%,-7.94%,-3.55%,-5.88%,-3.46%,-8.74%,-10.27%,,,,,,,,,,
29/12/2000,0.58%,3.00%,2.28%,2.22%,4.42%,8.82%,-0.04%,6.90%,6.84%,-3.92%,2.41%,8.59%,,,,,,,,,,
31/1/2001,0.74%,0.00%,1.34%,6.39%,4.82%,-2.43%,3.71%,0.56%,-1.65%,-0.30%,13.77%,3.72%,,,,,,,,,,
28/2/2001,0.48%,0.05%,0.28%,1.52%,-1.33%,-6.14%,-9.25%,-9.84%,-6.62%,-4.25%,-7.83%,-2.89%,,,,,,,,,,
30/3/2001,0.44%,-2.96%,-1.46%,-2.01%,-1.12%,-9.68%,-6.49%,-7.55%,-4.51%,-4.70%,-9.82%,-5.47%,,,,,,,,,,
30/4/2001,0.51%,-0.18%,0.02%,-1.35%,-0.48%,1.74%,7.77%,8.18%,6.27%,6.59%,4.94%,7.93%,,,,,,,,,,
31/5/2001,0.43%,0.15%,0.65%,1.76%,2.41%,-1.02%,0.65%,-6.31%,-3.33%,-0.37%,1.19%,1.14%,,,,,,,,,,
29/6/2001,0.34%,-1.14%,-0.42%,-2.66%,1.53%,-3.60%,-2.35%,-3.80%,-3.41%,-4.77%,-2.05%,-0.22%,,,,,,,,,,
